Project,Site,Coordinates,Year,Parcel,Block,N dose (kg/ha),P2O5 dose (kg/ha),K2O dose (kg/ha),Leaf N (%),Leaf P (%),Leaf K (%),Leaf Ca (%),Leaf Mg (%),Leaf Al (ppm),Leaf B (ppm),Leaf Cu (ppm),Leaf Zn (ppm),Leaf Fe (ppm),Leaf Mn (ppm),Leaf Mo (ppm),Berry yield (kg/ha),Berry dry matter_fraction,Soil NO3 (ppm),Soil NH4 (ppm),Soil P (mg/kg),Soil K (mg/kg),Soil Ca (mg/kg),Soil Mg (mg/kg),pH H2O
Frac_1,Normandin,48' 59'N 72' 32'O,2001,1,1,30,20,30,1.58,0.12,0.47,0.25,0.18,56.8,61.1,4.91,9.73,19.1,.,0.17,1591,0.07,1.14,2.59,61,116,278,30,4.56
Frac_1,Normandin,48' 59'N 72' 32'O,2001,2,1,9,20,30,1.54,0.11,0.44,0.25,0.17,.,40.1,6.68,8.89,18.1,232,0.17,901,0.05,0,0,53,70,447,57,4.7
Frac_1,Normandin,48' 59'N 72' 32'O,2001,3,1,60,20,30,1.96,0.13,0.52,0.28,0.11,47.8,64.8,4.60,.,24.5,221,0.24,1538,0.04,2.14,3,30,55,294,23,4.62
Frac_1,Normandin,48' 59'N 72' 32'O,2001,4,1,21,20,30,1.59,0.13,0.49,0.29,0.17,51.9,.,6.61,9.43,18.1,247,0.26,2622,0.05,0.06,0.31,44,186,980,85,4.56
Frac_1,Normandin,48' 59'N 72' 32'O,2001,5,1,0,20,30,1.53,0.1,0.44,0.29,0.16,61.2,82.9,6.55,.,18.6,217,0.24,2805,0.09,0.95,0,87,121,717,62,4.63
Frac_1,Normandin,48' 59'N 72' 32'O,2001,6,1,45,20,30,1.7,0.13,0.5,0.27,0.17,41.5,35.6,4.88,8.29,20.3,227,0.28,4191,0.06,1.17,1.97,51,90,321,23,4.57
Frac_1,Normandin,48' 59'N 72' 32'O,2001,7,1,15,20,30,1.63,0.11,0.43,0.31,0.18,47.6,53.9,5.20,7.59,17.6,212,0.27,2627,0.07,0,0,44,77,470,44,4.73
Frac_1,Normandin,48' 59'N 72' 32'O,2001,8,1,0,0,0,1.79,0.12,0.49,0.29,0.16,41.3,67.9,6.56,9.34,19.0,213,0.25,910,0.09,2.6,3.99,73,105,703,69,4.76
Frac_1,Normandin,48' 59'N 72' 32'O,2001,9,1,15,20,30,1.7,0.11,0.48,0.28,0.16,39.7,44.3,5.04,6.88,15.0,212,0.29,1813,0.05,5.55,6.2,180,179,1048,91,4.32
Frac_1,Normandin,48' 59'N 72' 32'O,2001,10,1,90,20,30,1.88,0.13,0.5,0.29,0.17,54.8,39.0,4.95,9.92,23.4,203,0.15,2697,0.09,0.56,3.13,129,101,437,37,4.42
Frac_1,Normandin,48' 59'N 72' 32'O,2001,11,1,30,20,30,2.16,0.15,0.54,0.34,0.15,53.2,59.4,4.31,.,25.3,216,0.29,2677,0.03,.,.,193,53,273,22,4.72
Frac_1,Normandin,48' 59'N 72' 32'O,2001,12,1,21,20,30,1.79,0.15,0.57,0.34,0.18,47.1,56.9,4.70,8.35,20.7,211,0.21,3786,0.03,0.08,0,176,97,551,46,4.71
Frac_1,Normandin,48' 59'N 72' 32'O,2001,13,2,0,0,0,1.63,0.11,0.47,0.33,0.14,51.2,65.6,5.63,6.67,14.4,218,0.25,1158,0.09,0.77,5.44,89,80,221,21,4.73
Frac_1,Normandin,48' 59'N 72' 32'O,2001,14,2,90,20,30,2.13,0.19,0.53,0.28,0.16,50.0,43.6,3.81,10.41,.,218,0.23,1619,0.09,0,2.1,103,194,373,25,4.1
Frac_1,Normandin,48' 59'N 72' 32'O,2001,15,2,15,20,30,1.77,0.12,0.52,0.29,0.14,60.2,45.9,5.94,6.57,19.8,200,0.14,1073,0.05,0.39,0.16,48,61,114,13,4.87
Frac_1,Normandin,48' 59'N 72' 32'O,2001,16,2,30,20,30,1.89,0.14,0.52,0.34,0.12,41.9,94.4,4.48,8.82,22.5,209,0.20,2363,0.06,0.91,0.33,101,141,447,45,4.86
Frac_1,Normandin,48' 59'N 72' 32'O,2001,17,2,21,20,30,1.51,0.09,0.46,0.26,0.14,37.0,49.2,5.37,8.28,17.2,191,0.31,5307,0.08,0,0.85,54,220,317,35,4.11
Frac_1,Normandin,48' 59'N 72' 32'O,2001,18,2,21,20,30,1.89,0.14,0.63,0.34,0.15,43.6,94.1,4.67,8.76,18.7,206,0.27,4651,0.08,0.61,0.86,82,113,552,47,4.46
Frac_1,Normandin,48' 59'N 72' 32'O,2001,19,2,30,20,30,1.73,0.12,0.49,0.34,0.17,52.7,54.4,5.33,6.94,18.7,204,0.19,1667,0.08,0,0.9,71,96,467,42,4.59
Frac_1,Normandin,48' 59'N 72' 32'O,2001,20,2,15,20,30,1.59,0.11,0.52,0.3,0.15,39.8,71.4,5.20,7.85,16.7,203,0.22,3367,0.06,0,0.07,72,115,372,31,4.55
Frac_1,Normandin,48' 59'N 72' 32'O,2001,21,2,0,20,30,1.59,0.11,0.48,0.31,0.16,49.4,72.0,5.72,7.52,16.6,211,0.26,1292,0.09,0.01,0.16,67,120,316,41,4.61
Frac_1,Normandin,48' 59'N 72' 32'O,2001,22,2,60,20,30,1.66,0.13,0.51,0.27,0.14,47.1,55.8,4.70,8.47,20.5,198,0.15,916,0.07,0.55,1.81,88,204,858,102,4.15
Frac_1,Normandin,48' 59'N 72' 32'O,2001,23,2,9,20,30,1.49,0.11,0.44,0.28,0.15,45.3,51.5,5.86,5.98,15.2,199,0.26,777,0.08,0.21,0.11,126,94,348,35,4.5
Frac_1,Normandin,48' 59'N 72' 32'O,2001,24,2,45,20,30,1.68,0.13,0.56,0.28,0.17,46.6,48.7,4.27,7.55,14.8,207,0.27,870,0.09,0.55,0.43,110,86,643,33,4.76
Frac_1,Normandin,48' 59'N 72' 32'O,2001,25,3,45,20,30,1.77,0.13,0.52,0.34,0.13,46.0,69.8,4.56,7.21,16.7,191,0.18,1588,0.03,0.3,3.9,69,150,1205,68,4.15
Frac_1,Normandin,48' 59'N 72' 32'O,2001,26,3,30,20,30,1.75,0.1,0.54,0.36,0.17,42.2,62.2,5.02,7.37,16.2,208,0.31,3133,0.06,0.64,1.88,50,85,215,25,4.57
Frac_1,Normandin,48' 59'N 72' 32'O,2001,27,3,0,20,30,1.53,0.1,0.46,0.26,0.18,44.5,71.5,6.31,7.26,15.6,217,0.19,.,0.1,1.01,0.91,81,128,404,42,4.79
Frac_1,Normandin,48' 59'N 72' 32'O,2001,28,3,0,0,0,1.66,0.11,0.49,0.34,0.15,43.5,.,6.65,7.70,16.1,.,0.27,1667,0.07,0,0.13,77,97,344,45,4.98
Frac_1,Normandin,48' 59'N 72' 32'O,2001,29,3,30,20,30,1.67,0.11,0.46,0.27,0.15,37.8,39.9,4.45,8.19,17.8,198,0.20,.,0.08,1.64,2.45,117,101,428,50,4.53
Frac_1,Normandin,48' 59'N 72' 32'O,2001,30,3,21,20,30,1.75,0.13,0.54,0.29,0.14,34.4,48.8,4.95,7.28,15.0,196,0.28,.,0.05,0.59,1.99,80,87,625,62,4.75
Frac_1,Normandin,48' 59'N 72' 32'O,2001,31,3,9,20,30,1.6,0.12,0.51,0.29,0.16,45.2,52.6,5.07,8.29,15.9,196,0.16,3413,0.08,0.46,0.74,160,70,244,34,4.93
Frac_1,Normandin,48' 59'N 72' 32'O,2001,32,3,90,20,30,2.23,0.15,0.64,0.37,0.15,42.4,52.3,3.10,8.94,23.3,190,0.21,2879,0.05,0.05,3.72,52,85,297,28,4.87
Frac_1,Normandin,48' 59'N 72' 32'O,2001,33,3,15,20,30,1.65,0.11,0.49,0.34,0.18,41.0,46.9,5.42,8.20,14.9,196,0.19,1741,0.07,1.71,2.5,66,201,1291,160,4.75
Frac_1,Normandin,48' 59'N 72' 32'O,2001,34,3,21,20,30,1.66,0.12,0.49,0.29,0.18,38.9,37.1,5.18,8.81,18.2,199,0.26,.,0.05,0.86,2,50,102,779,92,4.58
Frac_1,Normandin,48' 59'N 72' 32'O,2001,35,3,60,20,30,1.7,0.14,0.57,0.27,0.16,45.6,41.8,4.14,8.12,18.6,200,0.28,1024,0.06,0.67,2.17,69,37,112,8,4.3
Frac_1,Normandin,48' 59'N 72' 32'O,2001,36,3,15,20,30,1.64,0.11,0.51,0.34,0.14,44.2,49.3,4.71,7.56,15.5,203,0.20,1491,0.07,0.93,1.99,218,42,260,23,4.64
Frac_1,Normandin,48' 59'N 72' 32'O,2001,37,4,15,20,30,1.71,0.11,0.54,0.46,0.14,45.4,64.5,6.19,6.96,15.6,186,0.25,1090,0.09,1.56,2.56,165,76,390,29,4.57
Frac_1,Normandin,48' 59'N 72' 32'O,2001,38,4,15,20,30,1.76,0.13,0.56,0.35,0.18,42.8,57.0,5.68,8.64,14.6,202,0.18,2477,0.09,1.52,2.9,160,148,797,72,4.48
Frac_1,Normandin,48' 59'N 72' 32'O,2001,39,4,21,20,30,1.65,0.13,0.53,0.28,0.18,46.3,.,5.19,7.27,18.3,229,0.26,1285,0.08,0.36,0,169,80,121,13,4.9
Frac_1,Normandin,48' 59'N 72' 32'O,2001,40,4,0,20,30,1.48,0.11,0.54,0.31,0.13,36.8,63.2,6.03,6.62,15.5,196,0.22,3153,0.09,0.76,0.63,226,76,216,25,4.66
Frac_1,Normandin,48' 59'N 72' 32'O,2001,41,4,45,20,30,1.88,0.14,0.57,0.31,0.14,37.5,52.4,4.46,8.31,18.2,191,0.16,.,0.05,0.4,0.36,96,298,1222,102,4.16
Frac_1,Normandin,48' 59'N 72' 32'O,2001,42,4,9,20,30,1.51,0.11,0.49,0.26,0.15,45.7,50.2,5.29,8.12,16.3,191,0.22,3221,0.06,0.72,0,83,69,71,12,4.65
Frac_1,Normandin,48' 59'N 72' 32'O,2001,43,4,30,20,30,1.68,0.12,0.53,0.31,0.17,46.2,71.1,4.92,7.20,15.5,218,0.31,2605,0.05,0.76,0.45,127,122,339,41,4.57
Frac_1,Normandin,48' 59'N 72' 32'O,2001,44,4,30,20,30,1.67,0.12,0.57,0.29,0.14,34.8,64.2,3.88,7.44,17.2,194,0.28,1623,0.09,1.11,0.85,92,182,522,45,4.7
Frac_1,Normandin,48' 59'N 72' 32'O,2001,45,4,60,20,30,1.77,0.14,0.54,0.3,0.15,51.8,43.3,4.48,9.39,22.5,193,0.21,1794,0.08,2.53,5.08,118,121,448,36,4.46
Frac_1,Normandin,48' 59'N 72' 32'O,2001,46,4,0,0,0,1.43,0.11,0.5,0.32,0.14,40.5,58.7,5.28,6.71,15.9,182,0.27,717,0.05,0.45,2.46,117,102,286,34,4.78
Frac_1,Normandin,48' 59'N 72' 32'O,2001,47,4,90,20,30,2.17,0.15,0.62,0.31,0.18,47.3,53.7,3.77,8.55,22.9,213,0.17,1258,0.07,0.91,0.12,132,51,191,15,4.4
Frac_1,Normandin,48' 59'N 72' 32'O,2001,48,4,21,20,30,1.56,0.13,0.49,0.35,0.15,46.9,57.3,4.82,7.02,14.4,209,0.25,1138,0.08,0.39,0,.,58,156,22,4.77
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,1,1,21,20,30,1.63,0.12,0.58,0.34,0.17,73.0,64.7,5.32,8.60,19.1,234,0.19,3212,0.03,3.81,3.48,79,154,511,55,3.97
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,2,1,9,20,30,1.61,0.14,0.6,0.33,0.17,48.4,65.0,4.76,6.47,15.5,215,0.22,3731,0.02,1.69,2.57,18,105,457,52,4.52
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,3,1,45,20,30,1.97,0.14,0.57,0.32,0.16,66.1,55.0,2.91,6.88,21.0,222,0.14,6290,0.05,1.47,2.48,16,171,845,78,4.16
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,4,1,0,20,30,1.45,0.11,0.54,0.33,0.15,62.0,43.6,5.64,5.74,17.1,205,0.25,4098,0.04,2.66,3.13,68,36,34,5,5.1
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,5,1,0,0,0,1.86,0.16,0.6,0.4,0.17,56.9,72.5,5.22,6.06,15.8,232,0.15,3463,0.05,1.98,1.14,79,78,170,20,5.02
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,6,1,30,20,30,1.95,0.14,0.65,0.32,0.18,72.1,59.4,4.66,7.97,22.0,228,0.18,5957,0.04,0.47,0.45,38,62,119,12,5.1
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,7,1,15,20,30,1.89,0.14,0.65,0.27,0.18,60.7,60.7,5.53,9.27,21.9,237,0.21,5847,0.04,2.06,0.61,81,64,430,40,4.77
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,8,1,21,20,30,1.96,0.12,0.56,0.41,0.12,51.6,93.7,4.99,9.56,.,204,0.25,5065,0.05,2.13,1.87,122,62,217,19,4.93
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,9,1,15,20,30,1.81,0.14,0.54,0.3,0.09,75.2,60.8,4.81,6.01,27.4,189,0.18,.,0.07,3.62,0.32,43,104,370,19,4.19
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,10,1,60,20,30,1.84,0.14,0.58,0.27,0.11,56.9,49.2,3.98,9.48,28.4,194,0.25,3896,0.05,1.92,0.26,147,34,72,7,4.46
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,11,1,30,20,30,1.88,0.14,0.61,0.34,0.11,.,31.0,6.31,7.24,.,.,0.27,4205,0.02,2.05,1.96,60,81,165,11,4.63
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,12,1,90,20,30,2.05,0.16,0.62,0.43,0.14,58.8,47.0,3.28,6.72,24.2,182,0.31,6344,0.04,2,0.85,37,69,471,30,4.43
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,13,2,21,20,30,1.88,0.15,0.65,0.28,0.12,43.1,44.5,3.52,7.08,14.9,184,0.25,3553,0.04,0.17,0.6,38,67,134,14,4.81
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,14,2,30,20,30,1.77,0.14,0.56,0.39,0.19,52.0,42.4,5.02,7.67,17.6,218,0.24,3150,0.05,2.45,4.05,27,232,1315,128,4.25
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,15,2,0,0,0,1.87,0.14,0.59,0.41,0.21,55.2,69.9,6.08,8.71,20.4,251,0.17,3659,0.04,2.19,2.23,64,169,548,51,4.7
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,16,2,15,20,30,1.8,0.12,0.67,0.35,0.16,44.6,60.4,4.47,5.64,13.7,209,0.28,5421,0.04,2.52,2.8,18,104,437,35,4.43
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,17,2,0,20,30,1.92,0.15,0.57,0.38,0.16,66.6,.,6.65,10.44,20.3,.,0.35,4976,0.02,1.59,3.17,40,295,376,41,4.57
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,18,2,21,20,30,1.84,0.13,0.6,0.34,0.19,61.7,.,5.45,9.72,19.6,.,0.37,5885,0.07,1.78,2.35,24,99,247,22,4.79
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,19,2,9,20,30,1.56,0.12,0.52,0.32,0.15,62.9,72.3,5.11,8.29,17.3,217,0.25,6591,0.08,1.36,0.36,72,65,184,16,4.92
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,20,2,60,20,30,2.29,0.15,0.6,0.29,0.14,.,65.0,3.84,10.20,22.1,.,0.38,5093,0.04,3.54,2.46,56,45,190,14,4.67
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,21,2,90,20,30,2.03,0.17,0.62,0.36,0.14,59.5,52.9,4.18,9.93,28.9,215,0.24,3658,0.03,2.45,4.36,126,32,241,41,4.5
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,22,2,30,20,30,2.21,0.17,0.66,0.36,0.11,49.8,72.2,5.34,.,21.5,231,0.32,5334,0.04,4.03,2.42,103,47,252,46,4.85
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,23,2,45,20,30,2.15,0.16,0.64,0.33,0.15,80.9,76.6,4.70,8.75,24.8,.,0.33,2612,0.03,2.14,0.76,105,48,228,15,4.68
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,24,2,15,20,30,1.69,0.12,0.63,0.26,0.12,60.0,65.3,5.41,9.00,25.0,213,0.24,.,0.06,0.61,2.4,194,52,266,22,4.79
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,25,3,45,20,30,1.71,0.14,0.56,0.28,0.14,51.0,41.5,5.08,8.91,18.1,198,0.32,2086,0.07,1.11,0.94,46,103,514,55,4.46
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,26,3,0,0,0,1.61,0.18,0.49,0.31,0.16,64.7,54.8,6.17,8.45,17.4,218,0.32,3982,0.04,2.38,2.58,31,129,944,107,4.46
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,27,3,0,20,30,1.68,0.12,0.5,0.36,0.16,49.3,39.2,6.27,7.39,16.4,219,0.29,5210,0.05,1.03,0.2,63,157,878,75,4.74
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,28,3,15,20,30,1.6,0.12,0.59,0.31,0.15,49.1,50.6,5.22,6.34,15.9,213,0.27,7264,0.08,1.74,0.86,43,251,1304,124,4.67
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,29,3,30,20,30,1.88,0.15,0.6,0.36,0.15,52.0,58.9,4.94,8.09,18.4,209,0.36,7769,0.07,0.91,0,56,66,282,51,4.67
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,30,3,15,20,30,1.73,0.15,0.58,0.36,0.17,50.7,52.9,5.37,8.15,16.9,211,0.30,7987,0.04,0.88,0.67,80,180,1481,160,4.79
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,31,3,90,20,30,2.49,0.2,0.6,0.27,0.15,58.1,53.6,3.82,10.71,23.2,217,0.33,5917,0.04,1.14,2.53,57,149,1372,102,4.57
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,32,3,30,20,30,1.74,0.15,0.63,0.33,0.16,50.2,51.9,4.27,8.13,14.3,225,0.35,3277,0.05,0.92,0,52,144,947,72,4.78
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,33,3,21,20,30,1.64,0.14,0.58,0.32,0.13,55.2,52.8,5.01,7.20,18.6,195,0.30,5276,0.03,1.26,0.52,57,146,182,13,4.69
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,34,3,9,20,30,1.73,0.14,0.56,0.43,0.18,51.8,61.9,5.53,7.74,17.1,220,0.32,7322,0.09,2.44,2.08,60,81,619,45,5.09
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,35,3,21,20,30,1.75,0.14,0.59,0.39,0.15,65.9,64.7,5.14,7.11,19.4,208,0.29,5342,0.04,2.99,3.21,36,119,703,58,4.74
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,36,3,60,20,30,1.87,0.14,0.57,0.35,0.14,75.8,48.0,5.15,10.25,25.5,205,0.38,.,0.07,0.68,0.03,69,127,142,9,4.18
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,37,4,30,20,30,1.98,0.15,0.61,0.33,0.16,45.8,72.6,5.37,8.75,16.4,218,0.35,.,0.02,0.61,0,41,117,591,66,4.72
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,38,4,21,20,30,1.64,0.14,0.62,0.38,0.17,55.7,50.8,4.29,8.99,20.8,219,0.34,5516,0.06,0.67,0.24,32,68,369,38,4.7
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,39,4,90,20,30,2.11,0.17,0.61,0.31,0.17,63.3,54.9,4.22,8.56,21.4,230,0.36,7528,0.03,1.38,0.17,70,60,256,19,4.72
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,40,4,60,20,30,2.06,0.16,0.57,0.35,0.17,49.8,53.5,3.73,8.76,17.7,217,0.20,4434,0.05,1.71,2.57,82,130,595,54,4.54
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,41,4,21,20,30,2.02,0.19,0.69,0.4,0.17,73.7,64.9,6.01,8.92,20.9,216,0.29,3913,0.04,0.51,0,68,21,152,11,4.95
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,42,4,9,20,30,1.81,0.16,0.58,0.39,0.19,58.8,56.7,5.42,8.14,16.9,218,0.22,8987,0.04,1.83,2.33,14,73,649,49,4.77
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,43,4,0,0,0,1.82,0.14,0.54,0.38,0.16,64.7,76.6,5.36,7.81,17.1,222,0.28,4283,0.04,0.58,0.45,107,109,150,14,5.24
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,44,4,45,20,30,1.95,0.16,0.62,0.42,0.16,68.4,54.6,4.54,8.79,23.1,205,0.25,2844,0.06,1.09,0.32,42,26,287,54,5.12
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,45,4,15,20,30,1.77,0.14,0.67,0.27,0.13,51.8,71.0,6.12,5.91,16.5,210,0.34,3719,0.03,0.82,0.44,92,54,343,53,5.07
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,46,4,30,20,30,1.85,0.17,0.61,0.33,0.16,52.1,44.5,5.28,6.86,17.3,199,0.31,6844,0.03,0.52,0,72,48,446,68,4.99
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,47,4,15,20,30,1.84,0.13,0.57,0.31,0.14,59.9,46.1,5.89,6.60,19.1,211,0.31,4324,0.03,1.18,0.05,32,32,298,51,4.81
Frac_2,St-Eugène,48' 59'N 72' 17'O,2001,48,4,0,20,30,1.58,0.12,0.52,0.36,0.13,53.4,52.2,6.17,7.80,22.4,182,0.33,3618,0.09,1.73,0.68,70,83,598,81,4.98
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,1,1,0,0,0,1.79,0.12,0.56,0.29,0.13,54.0,55.4,5.78,9.45,21.0,188,0.30,5100,0.12,0.13,2.66,35,227,472,46,4.93
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,2,1,90,20,30,1.92,0.14,0.63,0.32,0.16,45.8,33.5,5.11,10.49,19.4,192,0.33,4680,0.12,1.48,2.93,9,65,213,13,4.85
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,3,1,0,20,30,1.67,0.13,0.56,0.33,0.14,46.6,43.7,5.15,6.74,15.5,178,0.32,6064,0.14,1.39,2.49,8,53,159,4,5.27
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,4,1,9,20,30,1.73,0.12,0.55,0.31,0.14,58.1,48.7,6.28,10.33,24.0,194,0.35,3710,0.14,0.9,2,74,95,264,14,5.02
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,5,1,21,20,30,1.72,0.13,0.49,0.29,0.15,36.2,40.6,3.96,7.35,15.8,173,0.31,3664,0.12,1.31,2.83,12,59,162,13,5.15
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,6,1,15,20,30,1.61,0.11,0.56,0.29,0.12,45.6,38.9,5.36,6.20,15.7,168,0.23,.,0.13,0.93,2.5,48,122,466,23,5.28
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,7,1,30,20,30,1.79,0.11,0.6,0.29,0.11,46.4,29.8,5.54,8.23,18.3,164,0.26,4622,0.14,0,0.43,0,100,213,8,4.94
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,8,1,60,20,30,2.03,0.14,0.62,0.26,0.12,46.2,33.2,5.86,11.05,18.6,184,0.27,6874,0.14,1.64,2.72,9,58,128,7,4.93
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,9,1,30,20,30,1.6,0.11,0.49,0.29,0.12,48.0,26.7,5.40,7.63,15.7,173,0.36,3020,0.12,1.33,2.7,16,99,510,50,5.18
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,10,1,21,20,30,1.7,0.12,0.5,0.33,0.13,41.8,26.4,6.07,7.72,14.7,175,0.26,2116,0.13,1.74,2.65,40,117,340,41,5.15
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,11,1,15,20,30,1.64,0.12,0.54,0.35,0.15,50.7,45.5,5.32,7.61,16.4,177,0.37,4168,0.13,0.67,3.07,15,99,485,53,5.3
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,12,1,45,20,30,1.91,0.13,0.61,0.31,0.12,55.1,43.7,4.67,7.37,19.7,177,0.36,6243,0.14,1.2,2.45,7,48,53,4,5.09
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,13,2,9,20,30,1.65,0.11,0.56,0.29,0.17,45.9,36.0,4.91,8.40,18.4,169,0.32,3167,0.12,.,.,51,429,1130,144,4.34
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,14,2,21,20,30,1.66,0.11,0.56,0.27,0.14,50.8,37.9,5.33,8.01,18.0,185,0.24,5147,0.14,0.87,2.75,4,70,260,39,5.25
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,15,2,0,0,0,1.69,0.12,0.56,0.27,0.14,51.5,43.4,5.22,8.24,19.4,184,0.30,3488,0.13,1.66,2.85,6,44,165,34,5.28
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,16,2,30,20,30,1.61,0.11,0.51,0.22,0.11,33.9,47.3,5.38,6.77,16.7,178,0.29,4681,0.14,10.92,10.1,5,47,146,9,5.32
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,17,2,90,20,30,2,0.1,0.51,0.25,0.11,63.6,39.9,4.47,7.57,22.4,172,0.33,3887,0.12,3.61,4.53,11,160,218,35,4.8
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,18,2,30,20,30,1.72,0.12,0.56,0.29,0.12,52.0,38.6,7.51,10.88,19.4,180,0.35,4600,0.12,1.02,2.98,8,20,85,2,5.24
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,19,2,60,20,30,1.88,0.12,0.58,0.28,0.12,48.7,43.9,5.44,8.44,20.4,174,0.22,5139,0.14,0.87,2.7,6,47,236,36,5.07
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,20,2,21,20,30,1.85,0.12,0.6,0.29,0.13,46.8,51.2,6.98,9.38,18.2,181,0.23,2307,0.15,0.3,1.83,7,34,162,36,5.11
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,21,2,45,20,30,1.74,0.11,0.67,0.28,0.11,49.4,34.1,5.12,8.17,22.0,176,0.31,3795,0.13,4.05,2.43,3,25,155,40,4.82
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,22,2,15,20,30,1.63,0.12,0.65,0.26,0.11,63.1,42.9,6.17,6.57,18.0,182,0.38,2011,0.13,0.68,2.2,7,33,182,35,5.09
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,23,2,0,20,30,1.63,0.11,0.51,0.29,0.12,.,42.8,5.90,6.94,.,179,0.38,2012,0.13,0.43,0.73,5,102,280,45,5.16
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,24,2,15,20,30,1.61,0.11,0.54,0.29,0.12,46.8,43.4,5.46,7.25,16.5,174,0.32,3054,0.12,0.37,2,2,77,467,48,5.42
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,25,3,45,20,30,1.93,0.14,0.57,0.32,0.17,59.9,41.7,5.50,10.90,21.3,191,0.24,3423,0.13,1.41,2.53,49,209,720,46,4.74
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,26,3,30,20,30,1.76,0.14,0.55,0.29,0.17,44.8,34.0,5.90,9.56,21.9,193,0.36,7450,0.13,3.01,4.24,8,117,287,21,5.2
Frac_3,St-Léon,48' 40'N 71' 32'O,2001,27,3,9,20,30,1.56,0.11,0.45,0.27,0.16,33.2,43.1,5.04,7.63,16.3,183,0.18,5342,0.13,2.86,3.77,26,112,167,15,5.09
